Comuna;Region
Algarrobo;Valparaiso
AlhuÃ©;Metropolitana
Alhué;Metropolitana
Alto Bio Bio;Bio Bio
Alto BiobÃ­o;Bio Bio
Alto Biobío;Bio Bio
Alto BÃ­o BÃ­o;Bio Bio
Alto Bío Bío;Bio Bio
Alto del Carmen;Atacama
Alto Hospicio;Tarapaca
Ancud;Los Lagos
Andacollo;Coquimbo
Angol;La Araucania
Antofagasta;Antofagasta
Antuco;Bio Bio
Antártica;Magallanes y Antartica Chilena
AntÃ¡rtica;Magallanes y Antartica Chilena
Arauco;Bio Bio
Arica;Arica y Parinacota
AysÃ©n;Aysen
Aysén;Aysen
Batuco;Metropolitana
Buin;Metropolitana
Bulnes;Ñuble
Cabildo;Valparaiso
Cabo de Hornos;Magallanes y Antartica Chilena
Cabrero;Bio Bio
Calama;Antofagasta
Calbuco;Los Lagos
Caldera;Atacama
Calera de Tango;Metropolitana
Calera;Valparaiso
Calle Larga;Valparaiso
Camarones;Arica y Parinacota
Cambrero;La Araucania
CamiÃ±a;Tarapaca
Camiña;Tarapaca
Canela;Coquimbo
Carahue;La Araucania
Cartagena;Valparaiso
Casablanca;Valparaiso
Castro;Los Lagos
Catemu;Valparaiso
Cauquenes;Maule
CaÃ±ete;Bio Bio
Cañete;Bio Bio
Cerrillos;Metropolitana
Cerro Navia;Metropolitana
ChaitÃ©n;Los Lagos
Chaitén;Los Lagos
Chanco;Maule
ChaÃ±aral;Atacama
Chañaral;Atacama
Chicureo;Metropolitana
Chiguayante;Bio Bio
Chile Chico;Aysen
Chillán Viejo;Ñuble
Chillán;Ñuble
ChillÃ¡n Viejo;Ñuble
ChillÃ¡n;Ñuble
Chimbarongo;O'Higgins
Cholchol;La Araucania
Chonchi;Los Lagos
ChÃ©pica;O'Higgins
Chépica;O'Higgins
Cisnes;Aysen
Cobquecura;Ñuble
CochamÃ³;Los Lagos
Cochamó;Los Lagos
Cochrane;Aysen
Codegua;O'Higgins
Coelemu;Ñuble
Coihaique;Aysen
Coihueco;Ñuble
Coinco;O'Higgins
ColbÃºn;Maule
Colbún;Maule
Colchane;Tarapaca
Colina;Metropolitana
Collipulli;La Araucania
Coltauco;O'Higgins
Combarabala;Coquimbo
Combarbalá;Coquimbo
CombarbalÃ¡;Coquimbo
ConcepciÃ³n;Bio Bio
Concepción;Bio Bio
ConchalÃ­;Metropolitana
Conchalí;Metropolitana
ConcÃ³n;Valparaiso
Concón;Valparaiso
ConstituciÃ³n;Maule
Constitución;Maule
Contulmo;Bio Bio
CopiapÃ³;Atacama
Copiapó;Atacama
Coquimbo;Coquimbo
Coronel;Bio Bio
Corral;Los Rios
Coyhaique;Aysen
Cunco;La Araucania
CuracautÃ­n;La Araucania
Curacautín;La Araucania
CuracavÃ­;Metropolitana
Curacaví;Metropolitana
Curaco de VÃ©lez;Los Lagos
Curaco de Vélez;Los Lagos
Curanilahue;Bio Bio
Curarrehue;La Araucania
Curepto;Maule
CuricÃ³;Maule
Curicó;Maule
Dalcahue;Los Lagos
Diego de Almagro;Atacama
DoÃ±ihue;O'Higgins
Doñihue;O'Higgins
El Bosque;Metropolitana
El Carmen;Ñuble
El Monte;Metropolitana
El Quisco;Valparaiso
El Tabo;Valparaiso
Empedrado;Maule
Ercilla;La Araucania
EstaciÃ³n Central;Metropolitana
Estación Central;Metropolitana
Florida;Bio Bio
Freire;La Araucania
Freirina;Atacama
Fresia;Los Lagos
Frutillar;Los Lagos
FutaleufÃº;Los Lagos
Futaleufú;Los Lagos
Futrono;Los Rios
Galvarino;La Araucania
General Lagos;Arica y Parinacota
Gorbea;La Araucania
Graneros;O'Higgins
Guaitecas;Aysen
Hijuelas;Valparaiso
Hospital;Metropolitana
Hospital;Metropolitana
HualaihuÃ©;Los Lagos
Hualaihué;Los Lagos
HualaÃ±e;Maule
Hualañe;Maule
HualpÃ©n;Bio Bio
Hualpén;Bio Bio
Hualqui;Bio Bio
Huara;Tarapaca
Huasco;Atacama
Huechuraba;Metropolitana
Illapel;Coquimbo
Imilac;Antofagasta
Independencia;Metropolitana
Iquique;Tarapaca
Isla de Maipo;Metropolitana
Isla de Pascua;Valparaiso
Juan Fernández;Valparaiso
Juan FernÃ¡ndez;Valparaiso
La Calera;Valparaiso
La Cisterna;Metropolitana
La Cruz;Valparaiso
La Dehesa;Metropolitana
La Estrella;O'Higgins
La Florida;Metropolitana
La Granja;Metropolitana
La Higuera;Coquimbo
La Ligua;Valparaiso
La Pintana;Metropolitana
La Reina;Metropolitana
La Serena;Coquimbo
La UniÃ³n;Los Rios
La Unión;Los Rios
Lago Ranco;Los Rios
Lago Verde;Aysen
Laguna Blanca;Magallanes y Antartica Chilena
Laja;Bio Bio
Lampa;Metropolitana
Lanco;Los Rios
Las Cabras;O'Higgins
Las Condes;Metropolitana
Lautaro;La Araucania
Lebu;Bio Bio
LicantÃ©n;Maule
Licantén;Maule
Limache;Valparaiso
Linares;Maule
Litueche;O'Higgins
Llaillay;Valparaiso
Llanquihue;Los Lagos
Lo Barnechea;Metropolitana
Lo Espejo;Metropolitana
Lo Prado;Metropolitana
Lolol;O'Higgins
Loncoche;La Araucania
LongavÃ­;Maule
Longaví;Maule
Lonquimay;La Araucania
Los Andes;Valparaiso
Los Angeles;Bio Bio
Los Lagos;Los Rios
Los Muermos;Los Lagos
Los Sauces;La Araucania
Los Vilos;Coquimbo
Los Álamos;Bio Bio
Los Ángeles;Bio Bio
Los Ãlamos;Bio Bio
Los Ãngeles;Bio Bio
Lota;Bio Bio
Lumaco;La Araucania
MachalÃ­;O'Higgins
Machalí;O'Higgins
Macul;Metropolitana
MacÃºl;Metropolitana
Macúl;Metropolitana
MaipÃº;Metropolitana
Maipú;Metropolitana
Malloa;O'Higgins
Marchihue;O'Higgins
Mariquina;Los Rios
MarÃ­a Elena;Antofagasta
MarÃ­a Pinto;Metropolitana
María Elena;Antofagasta
María Pinto;Metropolitana
Maule;Maule
MaullÃ­n;Los Lagos
Maullín;Los Lagos
Mejillones;Antofagasta
Melipeuco;La Araucania
Melipilla;Metropolitana
Molina;Maule
Monte Patria;Coquimbo
Mostazal;O'Higgins
MulchÃ©n;Bio Bio
Mulchén;Bio Bio
Máfil;Los Rios
