fecha1;fecha2
01-08-2020;20200801
02-08-2020;20200802
03-08-2020;20200803
04-08-2020;20200804
05-08-2020;20200805
06-08-2020;20200806
07-08-2020;20200807
08-08-2020;20200808
09-08-2020;20200809
10-08-2020;20200810
11-08-2020;20200811
12-08-2020;20200812
13-08-2020;20200813
14-08-2020;20200814
15-08-2020;20200815
16-08-2020;20200816
17-08-2020;20200817
18-08-2020;20200818
19-08-2020;20200819
20-08-2020;20200820
21-08-2020;20200821
22-08-2020;20200822
23-08-2020;20200823
24-08-2020;20200824
25-08-2020;20200825
26-08-2020;20200826
27-08-2020;20200827
28-08-2020;20200828
29-08-2020;20200829
30-08-2020;20200830
31-08-2020;20200831
01-09-2020;20200901
02-09-2020;20200902
03-09-2020;20200903
04-09-2020;20200904
05-09-2020;20200905
06-09-2020;20200906
07-09-2020;20200907
08-09-2020;20200908
09-09-2020;20200909
10-09-2020;20200910
11-09-2020;20200911
12-09-2020;20200912
13-09-2020;20200913
14-09-2020;20200914
15-09-2020;20200915
16-09-2020;20200916
17-09-2020;20200917
18-09-2020;20200918
19-09-2020;20200919
20-09-2020;20200920
21-09-2020;20200921
22-09-2020;20200922
23-09-2020;20200923
24-09-2020;20200924
25-09-2020;20200925
26-09-2020;20200926
27-09-2020;20200927
28-09-2020;20200928
29-09-2020;20200929
30-09-2020;20200930
01-10-2020;20201001
02-10-2020;20201002
03-10-2020;20201003
04-10-2020;20201004
05-10-2020;20201005
06-10-2020;20201006
07-10-2020;20201007
08-10-2020;20201008
09-10-2020;20201009
10-10-2020;20201010
11-10-2020;20201011
12-10-2020;20201012
13-10-2020;20201013
14-10-2020;20201014
15-10-2020;20201015
16-10-2020;20201016
17-10-2020;20201017
18-10-2020;20201018
19-10-2020;20201019
20-10-2020;20201020
21-10-2020;20201021
22-10-2020;20201022
23-10-2020;20201023
24-10-2020;20201024
25-10-2020;20201025
26-10-2020;20201026
27-10-2020;20201027
28-10-2020;20201028
29-10-2020;20201029
30-10-2020;20201030
31-10-2020;20201031
01-11-2020;20201101
02-11-2020;20201102
03-11-2020;20201103
04-11-2020;20201104
05-11-2020;20201105
06-11-2020;20201106
07-11-2020;20201107
08-11-2020;20201108
09-11-2020;20201109
10-11-2020;20201110
11-11-2020;20201111
12-11-2020;20201112
13-11-2020;20201113
14-11-2020;20201114
15-11-2020;20201115
16-11-2020;20201116
17-11-2020;20201117
18-11-2020;20201118
19-11-2020;20201119
20-11-2020;20201120
21-11-2020;20201121
22-11-2020;20201122
23-11-2020;20201123
24-11-2020;20201124
25-11-2020;20201125
26-11-2020;20201126
27-11-2020;20201127
28-11-2020;20201128
29-11-2020;20201129
30-11-2020;20201130
01-12-2020;20201201
02-12-2020;20201202
03-12-2020;20201203
04-12-2020;20201204
05-12-2020;20201205
06-12-2020;20201206
07-12-2020;20201207
08-12-2020;20201208
09-12-2020;20201209
10-12-2020;20201210
11-12-2020;20201211
12-12-2020;20201212
13-12-2020;20201213
14-12-2020;20201214
15-12-2020;20201215
16-12-2020;20201216
17-12-2020;20201217
18-12-2020;20201218
19-12-2020;20201219
20-12-2020;20201220
21-12-2020;20201221
22-12-2020;20201222
23-12-2020;20201223
24-12-2020;20201224
25-12-2020;20201225
26-12-2020;20201226
27-12-2020;20201227
28-12-2020;20201228
29-12-2020;20201229
30-12-2020;20201230
31-12-2020;20201231
01-01-2021;20210101
02-01-2021;20210102
03-01-2021;20210103
04-01-2021;20210104
05-01-2021;20210105
06-01-2021;20210106
07-01-2021;20210107
08-01-2021;20210108
09-01-2021;20210109
10-01-2021;20210110
11-01-2021;20210111
12-01-2021;20210112
13-01-2021;20210113
14-01-2021;20210114
15-01-2021;20210115
16-01-2021;20210116
17-01-2021;20210117
18-01-2021;20210118
19-01-2021;20210119
20-01-2021;20210120
21-01-2021;20210121
22-01-2021;20210122
23-01-2021;20210123
24-01-2021;20210124
25-01-2021;20210125
26-01-2021;20210126
27-01-2021;20210127
28-01-2021;20210128
29-01-2021;20210129
30-01-2021;20210130
31-01-2021;20210131
01-02-2021;20210201
02-02-2021;20210202
03-02-2021;20210203
04-02-2021;20210204
05-02-2021;20210205
06-02-2021;20210206
07-02-2021;20210207
08-02-2021;20210208
09-02-2021;20210209
10-02-2021;20210210
11-02-2021;20210211
12-02-2021;20210212
13-02-2021;20210213
14-02-2021;20210214
15-02-2021;20210215
16-02-2021;20210216
17-02-2021;20210217
18-02-2021;20210218
19-02-2021;20210219
20-02-2021;20210220
21-02-2021;20210221
22-02-2021;20210222
23-02-2021;20210223
24-02-2021;20210224
25-02-2021;20210225
26-02-2021;20210226
27-02-2021;20210227
28-02-2021;20210228
01-03-2021;20210301
02-03-2021;20210302
03-03-2021;20210303
04-03-2021;20210304
05-03-2021;20210305
06-03-2021;20210306
07-03-2021;20210307
08-03-2021;20210308
09-03-2021;20210309
10-03-2021;20210310
11-03-2021;20210311
12-03-2021;20210312
13-03-2021;20210313
14-03-2021;20210314
15-03-2021;20210315
16-03-2021;20210316
17-03-2021;20210317
18-03-2021;20210318
19-03-2021;20210319
20-03-2021;20210320
21-03-2021;20210321
22-03-2021;20210322
23-03-2021;20210323
24-03-2021;20210324
25-03-2021;20210325
26-03-2021;20210326
27-03-2021;20210327
28-03-2021;20210328
29-03-2021;20210329
30-03-2021;20210330
31-03-2021;20210331
01-04-2021;20210401
02-04-2021;20210402
03-04-2021;20210403
04-04-2021;20210404
05-04-2021;20210405
